ts,lat,lon,alt,drop_id,speed_mps,sats,fix_ok
1760627908,18.375300,-95.747157,2.8,71,3.99,11,1
1760627908,18.375300,-95.747157,2.8,72,3.99,11,1
1760627909,18.375263,-95.747143,3.5,73,4.58,11,1
1760627909,18.375263,-95.747143,3.5,74,4.58,11,1
1760627910,18.375219,-95.747130,3.4,75,5.06,11,1
1760627910,18.375219,-95.747130,3.4,76,5.06,11,1
1760627911,18.375173,-95.747122,3.4,77,5.35,11,1
1760627911,18.375173,-95.747122,3.8,78,5.35,10,1
1760627912,18.375123,-95.747114,4.2,79,5.52,11,1
1760627915,18.374981,-95.747082,5.3,80,5.37,11,1
1760627915,18.374981,-95.747082,5.3,81,5.37,11,1
1760627915,18.374981,-95.747082,5.3,82,5.37,11,1
1760627916,18.374935,-95.747067,5.2,83,5.26,11,1
1760627916,18.374935,-95.747067,5.2,84,5.26,11,1
1760627916,18.374935,-95.747067,5.2,85,5.26,11,1
1760627917,18.374894,-95.747054,6.0,86,4.60,11,1
1760627917,18.374894,-95.747054,6.0,87,4.60,11,1
1760627925,18.374851,-95.747095,4.1,88,1.03,11,1
1760627926,18.374866,-95.747102,2.4,89,2.51,11,1
1760627927,18.374896,-95.747113,2.0,90,3.87,11,1
1760627928,18.374933,-95.747125,2.2,91,4.50,11,1
1760627929,18.374972,-95.747133,1.9,92,4.38,11,1
1760627930,18.375016,-95.747141,1.9,93,5.23,11,1
1760627931,18.375062,-95.747147,1.9,94,5.12,11,1
1760627931,18.375062,-95.747147,2.3,95,5.12,11,1
1760627932,18.375106,-95.747153,1.8,96,5.04,11,1
1760627932,18.375106,-95.747153,1.8,97,5.04,11,1
1760627935,18.375249,-95.747175,6.2,98,5.56,11,1
1760627935,18.375249,-95.747175,6.2,99,5.56,11,1
1760627936,18.375295,-95.747181,6.6,100,5.15,10,1
1760627936,18.375295,-95.747181,6.6,101,5.15,10,1
1760627937,18.375340,-95.747186,5.6,102,5.21,11,1
1760627937,18.375340,-95.747186,5.6,103,5.21,11,1
